88;2020-11-25;Mercedes-Benz S-Класс AMG Long II (W221) Рестайлинг 63 AMG Long;mercedes;s_klasse_amg;6.2 л / 525 л.с. / Бензин;автомат;задний;белый;2009;174 731 км;1 248 000 ₽
89;2020-11-25;Mitsubishi Pajero IV;mitsubishi;pajero;3.2 л / 165 л.с. / Дизель;автомат;полный;зелёный;2008;194 885 км;927 000 ₽
90;2020-11-25;Porsche Panamera  II Turbo;porsche;panamera;4.0 л / 550 л.с. / Бензин;робот;полный;серый;2017;12 479 км;9 509 000 ₽
91;2020-11-25;Porsche Cayenne III;porsche;cayenne;3.0 л / 340 л.с. / Бензин;автомат;полный;красный;2020;1 500 км;8 700 000 ₽
92;2020-11-25;Volkswagen Touareg II;volkswagen;touareg;3.6 л / 249 л.с. / Бензин;автомат;полный;чёрный;2012;237 000 км;1 899 999 ₽
93;2020-11-25;Volkswagen Touareg III;volkswagen;touareg;2.0 л / 249 л.с. / Бензин;автомат;полный;белый;2019;20 000 км;3 930 000 ₽
94;2020-11-25;Mercedes-Benz GLC Coupe AMG  I (C253) 63 AMG;mercedes;amg_glc_coupe;4.0 л / 476 л.с. / Бензин;автомат;полный;чёрный;2018;37 783 км;4 790 000 ₽
95;2020-11-25;Land Rover Range Rover IV;land_rover;range_rover;4.4 л / 339 л.с. / Дизель;автомат;полный;золотистый;2013;127 000 км;2 999 000 ₽
96;2020-11-25;Volvo S40 II Рестайлинг;volvo;s40;2.4 л / 140 л.с. / Бензин;автомат;передний;серый;2008;158 639 км;550 000 ₽
97;2020-11-25;BMW M5  VI (F90) Competition;bmw;m5;4.4 л / 625 л.с. / Бензин;автомат;полный;серый;2019;33 400 км;6 797 000 ₽
98;2020-11-25;BMW X3  III (G01) 30d xDrive;bmw;x3;3.0 л / 249 л.с. / Дизель;автомат;полный;чёрный;2018;40 648 км;3 530 000 ₽
99;2020-11-25;BMW 5 серии  VI (F10/F11/F07) Рестайлинг 525d xDrive;bmw;5er;2.0 л / 218 л.с. / Дизель;автомат;полный;чёрный;2015;282 602 км;935 000 ₽
100;2020-11-25;Toyota Land Cruiser 200 Series Рестайлинг 2;toyota;land_cruiser;4.5 л / 249 л.с. / Дизель;автомат;полный;чёрный;2016;55 555 км;
101;2020-11-25;Nissan Patrol V (Y61) Рестайлинг;nissan;patrol;3.0 л / 160 л.с. / Дизель;автомат;полный;серый;2008;220 000 км;990 000 ₽
102;2020-11-25;LADA (ВАЗ) Largus I Cross;vaz;largus;1.6 л / 106 л.с. / Бензин;механика;передний;серебристый;2018;59 000 км;639 000 ₽
103;2020-11-25;Volkswagen Passat B6;volkswagen;passat;2.0 л / 150 л.с. / Бензин;автомат;передний;белый;2007;303 303 км;300 000 ₽
104;2020-11-25;Kia Proceed I;kia;proceed;1.6 л / 200 л.с. / Бензин;робот;передний;белый;2019;46 210 км;1 799 000 ₽
105;2020-11-25;Nissan Qashqai+2 I Рестайлинг;nissan;qashqai_plus_2;1.6 л / 114 л.с. / Бензин;механика;передний;фиолетовый;2011;123 000 км;797 000 ₽
106;2020-11-25;Volkswagen Touareg II;volkswagen;touareg;3.6 л / 249 л.с. / Бензин;автомат;полный;серебристый;2014;97 000 км;1 590 000 ₽
107;2020-11-25;BMW 7 серии Long VI (G11/G12) Рестайлинг M760Li xDrive;bmw;7er;6.6 л / 609 л.с. / Бензин;автомат;полный;синий;2019;1 802 км;13 599 999 ₽
108;2020-11-25;Dodge Challenger III Рестайлинг 2;dodge;challenger;3.6 л / 309 л.с. / Бензин;автомат;задний;белый;2018;30 849 км;2 550 000 ₽
109;2020-11-25;BMW 3 серии  VII (G2x) 330i;bmw;3er;2.0 л / 258 л.с. / Бензин;автомат;задний;синий;2019;30 449 км;2 840 000 ₽
110;2020-11-25;Audi A5 II (F5);audi;a5;2.0 л / 249 л.с. / Бензин;робот;полный;коричневый;2016;65 696 км;2 097 000 ₽
111;2020-11-25;Land Rover Freelander II Рестайлинг;land_rover;freelander;2.2 л / 150 л.с. / Дизель;автомат;полный;чёрный;2011;110 186 км;960 000 ₽
112;2020-11-25;Skoda Octavia III (A7);skoda;octavia;1.4 л / 140 л.с. / Бензин;робот;передний;серый;2013;62 741 км;640 000 ₽
113;2020-11-25;Cadillac SRX  I 6-speed;cadillac;srx;4.6 л / 324 л.с. / Бензин;автомат;полный;золотистый;2008;180 949 км;370 000 ₽
114;2020-11-25;Audi A5 II (F5);audi;a5;2.0 л / 249 л.с. / Бензин;робот;полный;синий;2016;59 003 км;2 249 000 ₽
115;2020-11-25;Volvo S90 II;volvo;s90;2.0 л / 249 л.с. / Бензин;автомат;передний;чёрный;2017;73 295 км;2 133 735 ₽
116;2020-11-25;Mercedes-Benz CLS AMG  II (W218) Рестайлинг 63 AMG S;mercedes;cls_klasse_amg;5.5 л / 585 л.с. / Бензин;автомат;полный;серый;2015;37 603 км;4 357 000 ₽
117;2020-11-25;Honda Element I;honda;element;2.4 л / 162 л.с. / Бензин;автомат;полный;чёрный;2003;123 565 км;565 000 ₽
118;2020-11-25;Porsche Cayenne Coupe  I S;porsche;cayenne_coupe;2.9 л / 440 л.с. / Бензин;автомат;полный;оранжевый;2019;11 309 км;8 776 000 ₽
119;2020-11-25;Mitsubishi Pajero III Рестайлинг;mitsubishi;pajero;3.2 л / 160 л.с. / Дизель;автомат;полный;серый;2006;182 000 км;669 000 ₽
120;2020-11-25;Skoda Superb III;skoda;superb;2.0 л / 280 л.с. / Бензин;робот;полный;серый;2017;110 200 км;1 490 000 ₽
121;2020-11-25;Volkswagen Touareg II;volkswagen;touareg;3.0 л / 245 л.с. / Дизель;автомат;полный;серый;2012;69 605 км;1 745 000 ₽
122;2020-11-25;Jaguar XF I Рестайлинг;jaguar;xf;2.0 л / 240 л.с. / Бензин;автомат;задний;серый;2014;109 км;1 377 000 ₽
123;2020-11-25;Volkswagen Touareg I Рестайлинг;volkswagen;touareg;3.0 л / 240 л.с. / Дизель;автомат;полный;синий;2009;146 000 км;990 000 ₽
124;2020-11-25;Lexus RX  IV 450h;lexus;rx;3.5 л / 263 л.с. / Гибрид;вариатор;полный;белый;2016;33 996 км;
125;2020-11-25;Hyundai Grand Starex I;hyundai;grand_starex;2.5 л / 145 л.с. / Дизель;автомат;задний;серебристый;2010;148 800 км;885 000 ₽
126;2020-11-25;Toyota Land Cruiser 200 Series Рестайлинг 2;toyota;land_cruiser;4.5 л / 249 л.с. / Дизель;автомат;полный;чёрный;2016;67 905 км;4 155 000 ₽
127;2020-11-25;Toyota Land Cruiser Prado 150 Series Рестайлинг 2;toyota;land_cruiser_prado;2.8 л / 177 л.с. / Дизель;автомат;полный;белый;2017;27 000 км;3 400 000 ₽
128;2020-11-25;Kia Carnival IV;kia;carnival;2.2 л / 202 л.с. / Дизель;автомат;передний;серый;2020;15 км;4 500 000 ₽
129;2020-11-25;Mercedes-Benz V-Класс L II 220 d длинный;mercedes;v_klasse;2.1 л / 163 л.с. / Дизель;автомат;задний;белый;2014;122 224 км;2 195 000 ₽
130;2020-11-25;BMW X3  III (G01) M40i;bmw;x3;3.0 л / 360 л.с. / Бензин;автомат;полный;синий;2017;41 510 км;3 798 000 ₽
131;2020-11-25;Lexus RX  I 300;lexus;rx;3.0 л / 223 л.с. / Бензин;автомат;передний;серебристый;1999;195 000 км;466 000 ₽
132;2020-11-25;Jeep Wrangler III (JK);jeep;wrangler;3.6 л / 286 л.с. / Бензин;автомат;полный;белый;2015;36 800 км;3 950 000 ₽
133;2020-11-25;Hyundai Genesis II;hyundai;genesis;3.0 л / 249 л.с. / Бензин;автомат;полный;коричневый;2015;55 412 км;1 769 000 ₽
134;2020-11-25;Bentley Bentayga I;bentley;bentayga;4.0 л / 435 л.с. / Дизель;автомат;полный;фиолетовый;2018;24 476 км;13 700 000 ₽
